60.175.184.229 - - [01/Dec/2018:00:02:05 +0800] "HEAD / HTTP/1.1" 200 -
189.46.243.105 - - [01/Dec/2018:00:09:53 +0800] "GET / HTTP/1.1" 200 4216
106.15.52.246 - - [01/Dec/2018:00:18:10 +0800] "GET / HTTP/1.0" 200 4216
83.148.231.219 - - [01/Dec/2018:03:33:49 +0800] "GET / HTTP/1.1" 200 4216
106.14.215.243 - - [01/Dec/2018:03:39:41 +0800] "GET / HTTP/1.1" 200 4216
120.78.231.236 - - [01/Dec/2018:04:11:25 +0800] "GET / HTTP/1.0" 200 4216
80.82.70.187 - - [01/Dec/2018:04:12:08 +0800] "GET /cache/global/img/gs.gif HTTP/1.1" 404 1109
141.105.70.16 - - [01/Dec/2018:04:37:15 +0800] "GET / HTTP/1.1" 200 4216
189.0.33.191 - - [01/Dec/2018:05:00:08 +0800] "GET / HTTP/1.1" 200 4216
189.0.33.191 - - [01/Dec/2018:05:00:08 +0800] "GET / HTTP/1.1" 200 4216
186.91.206.76 - - [01/Dec/2018:05:50:07 +0800] "GET / HTTP/1.1" 200 4216
47.100.38.9 - - [01/Dec/2018:06:17:24 +0800] "GET / HTTP/1.1" 200 4216
106.14.189.11 - - [01/Dec/2018:06:22:57 +0800] "GET / HTTP/1.1" 200 4216
41.220.129.166 - - [01/Dec/2018:06:25:07 +0800] "GET / HTTP/1.1" 200 4216
171.13.14.18 - - [01/Dec/2018:08:18:05 +0800] "CONNECT 133.130.126.119:43 HTTP/1.1" 400 -
187.56.243.27 - - [01/Dec/2018:09:18:26 +0800] "GET / HTTP/1.1" 200 4216
51.75.20.65 - - [01/Dec/2018:09:32:20 +0800] "GET / HTTP/1.1" 200 4216
187.74.247.237 - - [01/Dec/2018:09:37:05 +0800] "GET / HTTP/1.1" 200 4216
143.255.242.182 - - [01/Dec/2018:10:49:13 +0800] "GET / HTTP/1.1" 200 4216
61.219.11.151 - - [01/Dec/2018:11:17:23 +0800] "-" 400 -
196.52.43.72 - - [01/Dec/2018:12:42:11 +0800] "GET / HTTP/1.1" 200 4216
112.10.180.139 - - [01/Dec/2018:13:15:44 +0800] "GET /bkgd/bkgd.jpg HTTP/1.1" 200 27149
112.10.180.139 - - [01/Dec/2018:13:16:12 +0800] "POST /WEB16/deliver?txt=hi HTTP/1.1" 500 2659
112.10.181.173 - - [01/Dec/2018:13:21:39 +0800] "GET /bkgd/bkgd.jpg HTTP/1.1" 200 27149
112.10.181.173 - - [01/Dec/2018:13:21:44 +0800] "POST /WEB16/deliver?txt=%E4%BD%A0%E5%A5%BD%E5%91%80 HTTP/1.1" 500 2659
112.10.180.139 - - [01/Dec/2018:13:32:15 +0800] "GET / HTTP/1.1" 200 4216
112.10.180.139 - - [01/Dec/2018:13:32:15 +0800] "GET /vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140936
112.10.180.139 - - [01/Dec/2018:13:32:15 +0800] "GET /css/grayscale.min.css HTTP/1.1" 200 8714
112.10.180.139 - - [01/Dec/2018:13:32:15 +0800] "GET /vendor/jquery/jquery.min.js HTTP/1.1" 200 86927
112.10.180.139 - - [01/Dec/2018:13:32:15 +0800] "GET /vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 70966
112.10.180.139 - - [01/Dec/2018:13:32:15 +0800] "GET /css/chat.css HTTP/1.1" 200 2091
112.10.180.139 - - [01/Dec/2018:13:32:15 +0800] "GET /vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 48649
112.10.180.139 - - [01/Dec/2018:13:32:15 +0800] "GET /vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
112.10.180.139 - - [01/Dec/2018:13:32:15 +0800] "GET /js/grayscale.js HTTP/1.1" 200 1294
112.10.180.139 - - [01/Dec/2018:13:32:15 +0800] "GET /js/recordIP.js HTTP/1.1" 200 458
112.10.180.139 - - [01/Dec/2018:13:32:15 +0800] "GET /img/logo.png HTTP/1.1" 200 21064
112.10.180.139 - - [01/Dec/2018:13:32:17 +0800] "GET /img/bg-masthead.jpg HTTP/1.1" 404 1097
112.10.180.139 - - [01/Dec/2018:13:32:17 +0800] "GET /Writing-Working.webm HTTP/1.1" 206 1538282
112.10.180.139 - - [01/Dec/2018:13:32:18 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
112.10.180.139 - - [01/Dec/2018:13:32:18 +0800] "GET /WEB16/register_test HTTP/1.1" 404 1094
112.10.180.139 - - [01/Dec/2018:13:32:21 +0800] "GET /index.html HTTP/1.1" 200 4216
112.10.180.139 - - [01/Dec/2018:13:32:21 +0800] "GET /img/bg-masthead.jpg HTTP/1.1" 404 1097
112.10.180.139 - - [01/Dec/2018:13:32:21 +0800] "GET /Writing-Working.webm HTTP/1.1" 206 1369802
112.10.180.139 - - [01/Dec/2018:13:32:21 +0800] "GET /WEB16/register_test HTTP/1.1" 404 1094
112.10.180.139 - - [01/Dec/2018:13:32:23 +0800] "GET /chat.html HTTP/1.1" 200 7236
112.10.180.139 - - [01/Dec/2018:13:32:23 +0800] "GET /js/chat.js HTTP/1.1" 200 2100
112.10.180.139 - - [01/Dec/2018:13:32:23 +0800] "GET /js/grayscale.min.js HTTP/1.1" 200 917
112.10.180.139 - - [01/Dec/2018:13:32:23 +0800] "GET /img/bg-masthead.jpg HTTP/1.1" 404 1097
112.10.180.139 - - [01/Dec/2018:13:32:23 +0800] "GET /img/talk.jpg HTTP/1.1" 200 1658095
112.10.180.139 - - [01/Dec/2018:13:32:31 +0800] "GET /img/talk.jpg HTTP/1.1" 206 1
112.10.180.139 - - [01/Dec/2018:13:32:31 +0800] "GET /img/bg-masthead.jpg HTTP/1.1" 404 1097
112.10.180.139 - - [01/Dec/2018:13:32:31 +0800] "GET /img/talk.jpg HTTP/1.1" 206 588175
112.10.180.139 - - [01/Dec/2018:13:32:38 +0800] "GET /WEB16/deliver?txt=%E4%BD%A0%E5%A5%BD HTTP/1.1" 500 2622
112.10.180.139 - - [01/Dec/2018:13:32:47 +0800] "GET /img/bg-masthead.jpg HTTP/1.1" 404 1097
112.10.180.139 - - [01/Dec/2018:13:32:47 +0800] "GET /Writing-Working.webm HTTP/1.1" 206 930602
112.10.180.139 - - [01/Dec/2018:13:32:48 +0800] "GET /WEB16/register_test HTTP/1.1" 404 1094
